x,y,z
0.3,-0.6,-0.948116789559352
0.3,-0.5,-0.966590274151609
0.3,-0.4,-0.977606088506578
0.3,-0.3,-0.984476303074524
0.3,-0.2,-0.988696869423466
0.3,-0.1,-0.991000943763577
0.3,0,-0.991734739291071
0.3,0.1,-0.991000943763577
0.3,0.2,-0.988696869423466
0.3,0.3,-0.984476303074524
0.3,0.4,-0.977606088506578
0.3,0.5,-0.966590274151609
0.3,0.6,-0.948116789559352
0.3,0.7,-0.913426421001054
0.3,0.723253744199173,-0.9
0.375707843003154,-0.7,-0.9
0.4,-0.6,-0.934255152992068
0.4,-0.690293298522908,-0.9
0.4,-0.5,-0.955083485019991
0.4,-0.4,-0.967503504524022
0.4,-0.3,-0.975249477375523
0.4,-0.2,-0.980008046708917
0.4,-0.1,-0.982605825440546
0.4,0,-0.983433159169109
0.4,0.1,-0.982605825440546
0.4,0.2,-0.980008046708917
0.4,0.3,-0.975249477375523
0.4,0.4,-0.967503504524022
0.4,0.5,-0.955083485019991
0.4,0.6,-0.934255152992068
0.375707843003154,0.7,-0.9
0.4,0.690293298522909,-0.9
0.5,-0.6,-0.910222462190618
0.5,-0.62694543009136,-0.9
0.5,-0.5,-0.935133524279399
0.5,-0.4,-0.949988092402953
0.5,-0.3,-0.959252416131952
0.5,-0.2,-0.964943751182643
0.5,-0.1,-0.968050741564291
0.5,0,-0.969040247678019
0.5,0.1,-0.968050741564291
0.5,0.2,-0.964943751182643
0.5,0.3,-0.959252416131952
0.5,0.4,-0.949988092402953
0.5,0.5,-0.935133524279399
0.5,0.6,-0.910222462190618
0.5,0.62694543009136,-0.9
0.527201826000898,-0.6,-0.9
0.59348980670466,-0.5,-0.9
0.6,-0.4,-0.91631729275585
0.6,-0.485243366734862,-0.9
0.6,-0.3,-0.928500422382014
0.6,-0.2,-0.935984862120605
0.6,-0.1,-0.9400707368886
0.6,0,-0.94137199552356
0.6,0.1,-0.9400707368886
0.6,0.2,-0.935984862120605
0.6,0.3,-0.928500422382014
0.6,0.4,-0.91631729275585
0.59348980670466,0.5,-0.9
0.6,0.485243366734862,-0.9
0.527201826000898,0.6,-0.9
0.627937969642589,-0.4,-0.9
0.648797551605132,-0.3,-0.9
0.661612180437086,-0.2,-0.9
0.668607890260994,-0.1,-0.9
0.670835865500797,0,-0.9
0.668607890260994,0.1,-0.9
0.661612180437086,0.2,-0.9
0.648797551605132,0.3,-0.9
0.627937969642589,0.4,-0.9
-0.7,-0.4,-0.82505520979723
-0.7,-0.474575102561452,-0.8
-0.713295454545455,-0.4,-0.8
-0.7,-0.3,-0.846749255692781
-0.724807319879873,-0.3,-0.8
-0.7,-0.2,-0.860076519226349
-0.731879383053953,-0.2,-0.8
-0.7,-0.1,-0.867352084492437
-0.735740134892418,-0.1,-0.8
-0.7,0,-0.869669187356399
-0.736969696969697,0,-0.8
-0.7,0.1,-0.867352084492437
-0.735740134892418,0.1,-0.8
-0.7,0.2,-0.860076519226349
-0.731879383053953,0.2,-0.8
-0.7,0.3,-0.846749255692781
-0.724807319879873,0.3,-0.8
-0.7,0.4,-0.82505520979723
-0.713295454545455,0.4,-0.8
-0.7,0.474575102561452,-0.8
-0.6,-0.6,-0.859790584246739
-0.6,-0.689793671894592,-0.8
-0.658326089494921,-0.6,-0.8
-0.6,-0.5,-0.896404153367231
-0.694042855540182,-0.5,-0.8
